title,OEM,OEM Number,Description,Product Availability
GUIDING TUBE PCB,AMAT ,0100-91085,AMAT / APPLIED MATERIALS GUIDING TUBE PCB 0100-91085,In Stock
PWBA PLASMA ARC CURRENT,AMAT ,0100-91086,AMAT / APPLIED MATERIALS PWBA PLASMA ARC CURRENT 0100-91086,In Stock
GA CLIP ACTUATOR DRIVE ASSY,AMAT ,9010-00729,AMAT / APPLIED MATERIALS GA CLIP ACTUATOR DRIVE ASSY 9010-00729,In Stock
HITEK DUAL RANGE PRE ACCEL PSU,,0090-91917,"AMAT / APPLIED MATERIALS 0090-91917, HITEK POWER: A1023050",In Stock
 ESS PSU 80V 185A 15KW DUAL,AMAT ,1140-00254,AMAT / APPLIED MATERIALS ESS PSU 80V 185A 15KW DUAL 1140-00254,In Stock
MFC Unit UFC1662 5SCCM N2O,AMAT ,3030-99014,"AMAT / APPLIED MATERIALS MFC, UNIT UFC1662 5SCCM N2O ",In Stock
PSU G1 6KV,AMAT ,1140-00109,AMAT / APPLIED MATERIALS PSU G1 6KV 1140-00109,In Stock
UNIVERSAL DAQ,AMAT ,9090-01176,AMAT / APPLIED MATERIALS UNIVERSAL DAQ 9090-01176,In Stock
FERROFLUIDIC SEAL 3/8 Shaft,AMAT ,3700-90309,"AMAT / APPLIED MATERIALS SEAL, FERROFLUIDIC 3/8 SHAFT 3700-90309",In Stock
PWBA GAP SERVO PCB XR80 IMPLANT,AMAT ,0100-91055,AMAT / APPLIED MATERIALS PWBA GAP SERVO PCB XR80 IMPLANT 0100-91055,In Stock
PWBA Gap Servo PCB,AMAT ,0100-00991,AMAT Applied Materials PWBA GAP SERVO 0100-00991,In Stock
Vacuum Interlock PCB Card,,0100-90881,AMAT / APPLIED MATERIALS Vacuum Interlock PCB Card 0100-90881,In Stock
PSU ACE-920A,AMAT ,0160-00016,AMAT / APPLIED MATERIALS PSU ACE-920A 0160-00016,In Stock
PWBA 24V 1A Power Supply,AMAT ,0100-90025,AMAT / APPLIED MATERIALS PWBA 24V 1A POWER SUPPLY 0100-90025,In Stock
TURBO VAC 361C,Leybold,11423,LEYBOLD TURBO VAC 361C P/N 11423,In Stock
G2 PROTECTION RESISTOR BOARD,AMAT ,9090-00640,AMAT G2 Protection Resistor Board 9090-00640,In Stock
PASSAGE FERROFLUIDE TRANSFERT ARM,AMAT ,3700-03375,AMAT PASSAGE FERROFLUIDE TRANSFERT ARM 3700-03375,In Stock
 THERMISTOR GAUGE CONTROLLER PCB,AMAT ,0120-93175,AMAT THERMISTOR GAUGE CONTROLLER PCB 0120-93175,In Stock
SOURCE MAGNET CONTROL PCB,AMAT ,0120-00559,AMAT Source Magnet Control PCB Board 0120-00559,In Stock
GUIDING TUBE PCB,AMAT ,0110-91085,AMAT GUIDING TUBE BD 0110-91085,In Stock
ARC VOLTAGE CONTROL BOARD,AMAT ,0100-94029,AMAT AMAT / APPLIED MATERIALS 0100-94029 ,In Stock
EDWARDS GAUGE INTERFACE BOARD,AMAT ,0100-90710,AMAT EDWARDS GAUGE INTERFACE BOARD 0100-90710,In Stock
BEAM PROFILER INTERFACE BOARD,AMAT ,0100-90286,AMAT BEAM PROFILER INTERFACE BOARD 0100-90286,In Stock
 PWBA BEAM PROFILER MICRCONTROLLER,AMAT ,0100-01662,AMAT PWBA BEAM PROFILLER MICROCONTROLLER 0100-01662,In Stock
SDS GAS INTERLOCK,AMAT ,0100-00986,AMAT SDS GAS INTERLOCK 0100-00986,In Stock
I/V CONVERTOR WHEEL BOARD,AMAT ,0100-00958,AMAT I/V CONVERTOR WHEEL BOARD 0100-00958,In Stock
I/V CONVERTOR BEAM PCB,AMAT ,0100-00929,AMAT I/V CONVERTOR PCB 0100-00929,In Stock
VENDOR INTERFACE PRE ACCEL PCB CARD,AMAT ,0100-00790,AMAT Vendor Interface Pre-Accel PCB 0100-00790,In Stock
ATMOS ELEV WH I/F ASSY,AMAT ,0090-93106,AMAT ATMOS ELEV WH I/F ASSY 0090-93106,In Stock
DAQ Board Type B,AMAT ,0090-90966,AMAT DAQ BOARD TYPE B 0090-90966,In Stock
TILT DRIVE ASSY QUANTUM,AMAT ,0010-93093,AMAT / APPLIED MATERIALS TILT DRIVE ASSY QUANTUM AMAT 0010-93093,In Stock
AUTO TRANSFORMER,AMAT ,30019,ESTRASIL AUTO TRANSFORMER PH/90AP ,In Stock
 SIMATIC IPC847C Rack PC,Siemens,IPC847C,SIEMENS SIMATIC IPC847C Rack PC,In Stock
Rectangular Dual Slit Valve,,0210X-CA24-BCU1,VAT 0210X-CA24-BCU1 Rectangular Dual Slit Valve,In Stock
Dual Slit Valve,VAT,0360X-CA24,VAT Dual Slit Valve 0360X-CA24-BCY1/0010 Model A-445883,In Stock
All-Metal Angle Valve,VAT,57132-GE21,"VAT All-Metal Angle Valve 57132-GE21-0004 Series 57.1, DN 40",In Stock
Alcatel and SPTS Parts Listing,,,Please use the following link to view this listing,In Stock
Air Bearing E19002370,Varian ,E19002370,Varian E19002370 Air Bearing ,In Stock
